Category,Name,Volume,Price CHF,Allergens
Aperitif,Aperol Spritz,,12.0,O
Aperitif,Hugo,,12.0,O
Aperitif,Lillet,,12.0,O
Aperitif,Gespritzter Weisswein,,9.0,O
Aperitif,Mango Caipirinha,,14.0,
Aperitif,Prosecco,1 dl,7.0,O
Homemade Drinks,Hibiscus Iced Tea,,7.5,
Homemade Drinks,Lemongrass Iced Tea,,7.5,
Homemade Drinks,Lychee Green Tea,,7.5,
Homemade Drinks,Vietnamese Iced Tea,,7.5,
Homemade Drinks,Fresh Lime Soda,,7.5,
Homemade Drinks,Raspberry Lime Spritzer,,7.5,
Homemade Drinks,Mango Spritzer,,7.5,
Homemade Drinks,Lychee Spritzer,,7.5,
Homemade Drinks,Thai Red Milk Tea,,8.5,G
Exotic Juices,Pure Coconut Water,50 cl,5.5,
Exotic Juices,Mango Nectar,24 cl,4.5,
Exotic Juices,Lycheesaft,35 cl,4.5,
Exotic Juices,Guavasaft,35 cl,4.5,
Oishi Green Tea,Green Tea Original,50 cl,4.8,
Oishi Green Tea,Green Tea Honey Lemon,50 cl,4.8,
Oishi Green Tea,Black Tea Lemon,50 cl,4.8,
Oishi Green Tea,Green Tea No Sugar,40 cl,4.8,
Water & Softdrinks,Mineralwasser mit Kohlensäure,50 cl,4.8,
Water & Softdrinks,Mineralwasser ohne Kohlensäure,50 cl,4.8,
Water & Softdrinks,Coca Cola,50 cl,5.3,
Water & Softdrinks,Coca Cola Zero,50 cl,5.3,
Water & Softdrinks,Apfelschorle,50 cl,5.3,
Water & Softdrinks,Pink Grapefruit Soda,20 cl,6.0,
Water & Softdrinks,Yuzu Lime Lemonade,33 cl,7.0,
Beer,Saigon (Vietnam),30 cl,6.0,A
Beer,Kirin (Japan),30 cl,6.0,A
Beer,Tsingtao (China),30 cl,6.0,A
Beer,Chang (Thailand),30 cl,6.0,A
Beer,Singha (Thailand),30 cl,6.0,A
Beer,Feldschlösschen Alkoholfrei,30 cl,6.0,A
Rice Wine,Sake (Japan),10 cl,8.5,
Rice Wine,Pflaumenwein (Japan),10 cl,8.5,
Rice Wine,Lycheewine (China),10 cl,8.5,
Rice Wine,Soju Original (Korea),36 cl,17.0,
Rice Wine,Soju Lychee (Korea),36 cl,17.0,
Coffee,Café Crème,,4.5,
Coffee,Espresso,,4.5,
Coffee,Espresso Doppio,,5.5,
Coffee,Cappuccino,,5.5,G
Coffee,Latte Macchiato,,6.5,G
Coffee,Espresso Macchiato,,5.5,G
Coffee,Schale (mit warmer Milch),,5.5,G
Coffee,Vietnamesischer Eiskaffee,,6.8,
Coffee,Vietnamesischer Heisskaffee (siehe Bild),,6.8,
